Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency,Source_File
HFS,1946,0,0,3%,3,9,3,0,0,1,4,1,6,4,4,0,29,15950,0,0,10,20,0,0,-4,-200,0,0,0,0,50%,450,27,6%,224,49%,231,3%,4%,generate_country_csv_report_1726-01-01-01.csv
HJU,2338,0,0,3%,3,7,3,0,0,0,1,0,1,3,3,0,5,2750,0,0,0,0,0,0,-4,-200,0,0,4,2680,50%,330,6,2%,260,78%,141,3%,4%,generate_country_csv_report_1726-01-01-01.csv
HPG,15555,0,0,4%,4,52,4,0,0,8,7,2,17,17,17,0,6,3300,0,0,0,0,26,3,23,1150,0,0,0,0,50%,2872,20,0%,1063,37%,184,3%,4%,generate_country_csv_report_1726-01-01-01.csv
AVE,128,0,0,0%,2,7,2,1,0,4,4,0,8,6,6,0,0,0,0,0,0,0,0,0,16,800,0,0,12,8040,50%,24,15,61%,10,40%,192,3%,4%,generate_country_csv_report_1726-01-01-01.csv
ANA,582,0,0,0%,2,2,2,1,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,56,0,-0%,51,91%,96,3%,4%,generate_country_csv_report_1726-01-01-01.csv
BIU,175,0,0,2%,2,7,2,1,0,2,5,0,7,5,5,0,0,0,0,0,0,0,0,0,24,1200,0,0,18,12060,50%,43,25,57%,19,44%,247,3%,4%,generate_country_csv_report_1726-01-01-01.csv
CPV,8159,0,0,3%,6,6,6,0,0,6,7,0,13,13,13,0,0,0,0,0,0,0,14,2,19,950,39,97,15,10050,0%,1559,48,3%,811,52%,191,3%,4%,generate_country_csv_report_1726-01-01-01.csv
DOC,2701,0,0,2%,4,9,4,0,0,4,5,0,9,9,9,0,0,0,0,0,0,0,21,3,13,650,37,92,0,0,0%,471,23,4%,315,66%,174,3%,4%,generate_country_csv_report_1726-01-01-01.csv
DMP,1763,0,0,3%,7,9,7,1,0,5,2,0,7,8,8,0,0,0,0,0,0,0,0,0,8,400,0,0,0,0,50%,247,0,0%,192,77%,140,3%,4%,generate_country_csv_report_1726-01-01-01.csv
ERP,665,0,0,2%,2,2,2,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,80,0,-0%,71,88%,121,3%,4%,generate_country_csv_report_1726-01-01-01.csv
ETF,13659,0,0,1%,12,13,14,0,0,3,2,0,5,28,18,0,0,0,0,0,0,0,0,0,2,100,0,0,10,6700,50%,1457,14,1%,686,47%,352,3%,4%,generate_country_csv_report_1726-01-01-01.csv
FIK,1628,0,0,2%,3,3,3,0,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,50%,532,0,0%,189,35%,326,3%,4%,generate_country_csv_report_1726-01-01-01.csv
GSD,5240,0,0,3%,4,4,4,0,0,5,5,0,10,11,11,0,0,0,0,0,0,0,15,2,36,1800,31,77,0,0,25%,1242,23,1%,136,11%,237,3%,4%,generate_country_csv_report_1726-01-01-01.csv
HPV,339,0,0,6%,2,5,2,0,0,4,1,0,5,7,5,0,16,8800,0,0,0,0,0,0,-4,-200,0,0,0,0,0%,36,10,29%,26,70%,108,3%,4%,generate_country_csv_report_1726-01-01-01.csv
IHS,2100,0,0,4%,3,3,3,0,0,3,2,0,5,7,7,0,7,3850,0,0,0,0,0,0,1,50,0,0,0,0,50%,257,5,2%,214,83%,122,3%,4%,generate_country_csv_report_1726-01-01-01.csv
KGK,5014,0,0,1%,7,13,7,0,0,2,7,0,9,9,9,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,1404,0,-0%,483,34%,280,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LEE,2148,0,0,0%,6,8,6,0,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,540,0,-0%,168,31%,251,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LRO,385,0,0,0%,4,5,4,0,0,2,2,0,4,6,6,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,41,0,-1%,37,91%,106,3%,4%,generate_country_csv_report_1726-01-01-01.csv
MRC,34493,0,0,3%,25,22,25,0,0,14,87,22,123,86,86,0,108,86400,118,59,10,20,77,11,399,19950,94,235,131,87770,75%,21458,4044,18%,2364,11%,632,3%,4%,generate_country_csv_report_1726-01-01-01.csv
NMR,1140,0,0,1%,2,3,2,0,0,2,0,0,2,5,5,0,0,0,0,0,0,0,11,1,-4,-200,0,0,0,0,50%,136,1,1%,119,87%,119,3%,4%,generate_country_csv_report_1726-01-01-01.csv
NRP,4196,0,0,1%,9,9,9,1,0,4,5,0,9,9,9,0,4,2200,0,0,0,0,0,0,7,350,0,0,0,0,50%,770,4,0%,371,48%,183,3%,4%,generate_country_csv_report_1726-01-01-01.csv
PCS,1659,0,0,0%,3,4,3,1,0,2,8,0,10,7,7,0,0,0,0,0,0,0,30,4,-10,-500,0,0,0,0,50%,282,9,3%,180,64%,169,3%,4%,generate_country_csv_report_1726-01-01-01.csv
REP,871,0,0,1%,6,19,4,0,0,3,2,0,5,6,6,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,253,0,-0%,201,79%,118,3%,4%,generate_country_csv_report_1726-01-01-01.csv
RVV,10459,0,0,2%,10,10,10,0,0,7,9,2,18,16,16,0,14,7700,12,6,0,0,7,1,25,1250,15,37,32,21440,50%,2648,93,3%,998,37%,253,3%,4%,generate_country_csv_report_1726-01-01-01.csv
SEK,5414,0,0,4%,11,11,11,0,0,2,4,2,8,9,9,0,0,0,0,0,0,0,0,0,6,300,0,0,8,5360,50%,1488,10,0%,432,29%,274,3%,4%,generate_country_csv_report_1726-01-01-01.csv
SMK,2161,0,0,1%,3,4,3,0,0,1,4,0,5,5,5,0,0,0,0,0,0,0,0,0,-8,-400,24,60,0,0,75%,269,9,3%,241,89%,124,3%,4%,generate_country_csv_report_1726-01-01-01.csv
SRA,9757,0,0,5%,15,19,15,0,0,14,17,1,32,32,32,0,5,2750,0,0,0,0,0,0,-3,-150,-6,-15,0,0,50%,2328,3,0%,805,34%,238,3%,4%,generate_country_csv_report_1726-01-01-01.csv
SSD,5312,0,0,2%,6,6,6,0,0,5,8,0,13,11,11,0,0,0,0,0,0,0,36,5,76,3800,56,140,6,4020,25%,921,63,6%,353,38%,173,3%,4%,generate_country_csv_report_1726-01-01-01.csv
UFS,12718,0,0,2%,18,28,18,0,0,6,16,3,25,27,27,0,0,0,0,0,0,0,0,0,20,1000,-2,-5,0,0,50%,3317,1,0%,595,17%,260,3%,4%,generate_country_csv_report_1726-01-01-01.csv
WIE,457,0,0,0%,3,4,3,0,0,1,5,0,6,8,8,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,50%,54,-1,-2%,49,90%,119,3%,4%,generate_country_csv_report_1726-01-01-01.csv
BAR,71362,0,0,1%,22,22,22,0,0,8,55,5,68,59,59,0,114,57000,0,0,25,50,28,4,10,500,263,657,540,361800,50%,19016,5954,31%,6366,33%,266,3%,4%,generate_country_csv_report_1726-01-01-01.csv
FFN,21228,0,0,2%,14,14,14,0,0,8,23,0,31,17,17,0,115,57500,0,0,23,46,0,0,97,4850,0,0,0,0,50%,3274,310,9%,1602,48%,154,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LLA,10437,0,0,4%,7,7,7,1,1,6,13,5,24,18,18,0,86,55900,14,7,0,0,0,0,22,1100,0,0,0,0,50%,4380,228,5%,379,8%,419,3%,4%,generate_country_csv_report_1726-01-01-01.csv
DRC,56943,0,0,4%,9,91,9,0,0,7,1,0,8,9,6,0,0,0,0,0,0,0,134,20,17,850,9,22,0,0,25%,3250,30,0%,2869,88%,57,3%,4%,generate_country_csv_report_1726-01-01-01.csv
DVE,5864,0,0,2%,9,15,9,0,0,6,4,0,10,10,10,0,0,0,0,0,0,0,0,0,10,500,0,0,0,0,25%,1045,0,0%,319,30%,178,3%,4%,generate_country_csv_report_1726-01-01-01.csv
DVC,11355,0,0,3%,2,5,2,0,0,3,4,0,7,6,5,0,0,0,0,0,0,0,0,0,37,1850,81,202,0,0,25%,1361,40,2%,702,51%,119,3%,4%,generate_country_csv_report_1726-01-01-01.csv
EPC,19216,0,0,3%,18,91,19,0,0,0,3,4,7,15,15,0,0,0,7,3,18,36,0,0,10,500,-4,-10,0,0,0%,2780,0,0%,1119,40%,145,3%,4%,generate_country_csv_report_1726-01-01-01.csv
EPY,53169,0,0,3%,38,38,38,1,0,20,34,15,69,58,58,0,18,19800,73,36,316,632,0,0,38,1900,129,322,237,158790,50%,14872,1663,11%,3761,25%,279,3%,4%,generate_country_csv_report_1726-01-01-01.csv
FDL,6026,0,0,3%,4,4,4,0,0,3,2,0,5,5,4,0,0,0,0,0,0,0,25,3,8,400,0,0,5,3350,25%,827,10,1%,469,56%,137,3%,4%,generate_country_csv_report_1726-01-01-01.csv
FGJ,9104,0,0,3%,4,7,3,0,0,1,3,2,6,9,8,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,25%,1458,0,-0%,568,38%,157,3%,4%,generate_country_csv_report_1726-01-01-01.csv
FUL,1036,0,0,3%,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,79,0,0%,79,100%,76,3%,4%,generate_country_csv_report_1726-01-01-01.csv
GHN,4131,0,0,3%,3,3,3,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,439,0,0%,390,88%,106,3%,4%,generate_country_csv_report_1726-01-01-01.csv
GNG,4122,0,0,3%,2,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16750,25%,454,18,4%,390,85%,110,3%,4%,generate_country_csv_report_1726-01-01-01.csv
IWE,1036,0,0,3%,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,79,0,0%,79,100%,76,3%,4%,generate_country_csv_report_1726-01-01-01.csv
JJY,1550,0,0,3%,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9380,25%,247,10,4%,238,96%,79,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LCF,8312,0,0,3%,4,4,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11,550,0,0,4,2680,25%,805,3,0%,751,93%,96,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LCS,3613,0,0,3%,5,5,5,0,0,3,3,2,8,7,6,0,0,0,0,0,47,94,0,0,4,200,0,0,7,4690,25%,1190,9,0%,343,28%,329,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LMC,24287,0,0,3%,6,6,6,0,0,4,4,3,11,14,13,0,0,0,0,0,5,10,9,1,16,800,0,0,28,18760,25%,3544,46,1%,1512,42%,145,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LMN,95586,0,0,3%,10,91,11,0,0,3,8,4,15,18,18,0,0,0,6,3,0,0,0,0,54,2700,0,0,0,0,25%,6504,10,0%,3896,59%,69,3%,4%,generate_country_csv_report_1726-01-01-01.csv
LPR,10291,0,0,4%,7,91,7,0,0,6,0,0,6,6,4,0,0,0,0,0,0,0,0,0,11,550,-2,-5,0,0,25%,977,0,0%,793,81%,94,3%,4%,generate_country_csv_report_1726-01-01-01.csv
MYU,1046,0,0,3%,2,2,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,79,0,0%,79,100%,76,3%,4%,generate_country_csv_report_1726-01-01-01.csv
NRS,5286,0,0,3%,6,6,6,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-300,20,50,0,0,25%,987,7,0%,623,63%,186,3%,4%,generate_country_csv_report_1726-01-01-01.csv
NWE,5916,0,0,3%,4,4,4,0,0,3,5,1,9,9,9,0,0,0,0,0,39,78,0,0,-10,-500,0,0,0,0,25%,1445,0,0%,580,40%,244,3%,4%,generate_country_csv_report_1726-01-01-01.csv
ODS,2176,0,0,4%,3,3,3,1,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,-8,-400,22,55,0,0,25%,503,8,1%,236,47%,231,3%,4%,generate_country_csv_report_1726-01-01-01.csv
RDN,3887,0,0,3%,7,7,7,0,0,3,8,2,13,13,13,0,0,0,0,0,0,0,0,0,3,150,125,312,0,0,0%,1463,70,4%,314,21%,376,3%,4%,generate_country_csv_report_1726-01-01-01.csv
ROM,6965,0,0,3%,4,25,4,0,0,7,11,2,20,19,19,0,0,0,0,0,0,0,0,0,30,1500,14,35,10,6700,25%,2087,32,1%,552,26%,299,3%,4%,generate_country_csv_report_1726-01-01-01.csv
RPG,17523,0,0,3%,5,5,5,0,0,3,3,5,11,11,10,0,0,0,0,0,17,34,19,2,15,750,0,0,21,14070,25%,3140,29,0%,1018,32%,179,3%,4%,generate_country_csv_report_1726-01-01-01.csv
RPT,2073,0,0,3%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,159,0,0%,159,100%,76,3%,4%,generate_country_csv_report_1726-01-01-01.csv
SHE,1036,0,0,3%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,79,0,0%,79,100%,76,3%,4%,generate_country_csv_report_1726-01-01-01.csv
SSJ,2042,0,0,3%,2,2,2,0,0,1,1,2,4,4,4,0,0,0,0,0,21,42,0,0,5,250,0,0,1,670,25%,592,1,0%,127,21%,289,3%,4%,generate_country_csv_report_1726-01-01-01.csv
WYK,5186,0,0,3%,5,7,5,0,0,3,3,2,8,8,8,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,25%,1512,0,-0%,589,38%,291,3%,4%,generate_country_csv_report_1726-01-01-01.csv
XIF,3638,0,0,3%,2,2,2,1,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,25%,405,0,-0%,311,76%,111,3%,4%,generate_country_csv_report_1726-01-01-01.csv
XIN,2073,0,0,3%,2,2,2,0,0,0,1,0,1,5,5,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,25%,432,0,-0%,254,58%,208,3%,4%,generate_country_csv_report_1726-01-01-01.csv
ABL,2564,0,0,1%,7,7,7,1,0,2,8,0,10,9,9,0,0,0,0,0,0,0,18,2,-14,-700,30,75,0,0,75%,442,22,5%,250,56%,172,5%,7%,generate_country_csv_report_1727-01-01-01.csv
BHK,4587,0,0,3%,14,14,14,1,0,4,11,1,16,17,17,0,3,1650,0,0,0,0,68,10,-5,-250,42,105,42,28140,25%,1210,140,11%,427,35%,263,5%,7%,generate_country_csv_report_1727-01-01-01.csv
COA,23349,0,0,2%,9,31,12,0,0,21,26,9,56,60,50,0,32,28800,131,65,0,0,0,0,211,10550,19,47,189,126630,0%,8539,1040,12%,1041,12%,442,5%,7%,generate_country_csv_report_1727-01-01-01.csv
DOO,890,0,0,0%,7,7,7,1,0,2,5,0,7,8,8,0,5,2750,0,0,0,0,0,0,-10,-500,0,0,0,0,50%,88,4,4%,74,84%,99,5%,7%,generate_country_csv_report_1727-01-01-01.csv
DTP,898,0,0,1%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,25%,285,0,-0%,106,37%,317,5%,7%,generate_country_csv_report_1727-01-01-01.csv
FDN,1011,0,0,3%,6,7,6,1,0,4,6,2,12,12,12,0,2,1100,0,0,0,0,0,0,-12,-600,0,0,0,0,50%,277,1,0%,87,31%,273,5%,7%,generate_country_csv_report_1727-01-01-01.csv
HNT,2934,0,0,1%,4,7,4,1,0,2,4,2,8,9,9,0,6,3300,0,0,0,0,0,0,22,1100,0,0,0,0,75%,865,7,0%,317,36%,294,5%,7%,generate_country_csv_report_1727-01-01-01.csv
HYP,317,0,0,0%,2,2,2,1,0,3,5,0,8,7,7,0,0,0,14,7,0,0,0,0,-8,-400,0,0,0,0,75%,38,0,1%,35,93%,119,5%,7%,generate_country_csv_report_1727-01-01-01.csv
INH,1531,0,0,1%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,469,0,-0%,179,38%,306,5%,7%,generate_country_csv_report_1727-01-01-01.csv
KST,271,0,0,1%,2,2,2,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,19,0,-4%,19,100%,70,5%,7%,generate_country_csv_report_1727-01-01-01.csv
LLD,6120,0,0,1%,6,6,6,1,0,4,7,0,11,10,10,0,0,0,17,8,0,0,0,0,9,450,0,0,0,0,50%,961,2,0%,509,52%,157,5%,7%,generate_country_csv_report_1727-01-01-01.csv
MLB,70,0,0,0%,1,1,1,1,0,3,6,0,9,9,9,0,0,0,0,0,0,0,0,0,-12,-600,0,0,1,670,25%,5,0,2%,5,96%,83,5%,7%,generate_country_csv_report_1727-01-01-01.csv
MTR,1655,0,0,0%,5,8,5,1,0,4,6,3,13,13,13,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,50%,682,-1,-0%,162,23%,412,5%,7%,generate_country_csv_report_1727-01-01-01.csv
NLL,240,0,0,2%,2,16,2,1,0,4,5,0,9,9,9,0,0,0,5,2,0,0,0,0,-8,-400,0,0,9,6030,75%,30,11,36%,18,61%,126,5%,7%,generate_country_csv_report_1727-01-01-01.csv
OAK,55848,0,0,3%,39,39,36,0,0,28,162,16,206,172,172,0,43,51600,65,32,0,0,88,13,608,30400,192,480,147,98490,50%,37577,8036,21%,2379,6%,642,5%,7%,generate_country_csv_report_1727-01-01-01.csv
PLK,342,0,0,1%,2,4,2,1,0,4,3,0,7,7,7,0,0,0,0,0,0,0,7,1,-6,-300,9,22,0,0,50%,43,4,10%,36,84%,127,5%,7%,generate_country_csv_report_1727-01-01-01.csv
SHT,628,0,0,3%,4,7,4,1,0,4,6,0,10,10,10,0,7,3850,0,0,0,0,0,0,-12,-600,0,0,0,0,50%,59,6,11%,48,80%,94,5%,7%,generate_country_csv_report_1727-01-01-01.csv
TAM,13695,0,0,3%,24,24,24,0,0,8,25,0,33,31,31,0,0,0,0,0,0,0,88,13,-13,-650,0,0,0,0,50%,2269,66,2%,339,14%,165,5%,7%,generate_country_csv_report_1727-01-01-01.csv
TPD,539,0,0,0%,3,3,3,1,0,3,4,0,7,8,8,0,0,0,0,0,0,0,11,1,-8,-400,19,47,5,3350,75%,75,16,21%,54,71%,140,5%,7%,generate_country_csv_report_1727-01-01-01.csv
TPP,13716,0,0,2%,28,28,28,1,0,7,10,0,17,13,13,0,0,0,56,28,0,0,0,0,28,1400,0,0,0,0,50%,1990,11,0%,1251,62%,145,5%,7%,generate_country_csv_report_1727-01-01-01.csv
TRH,9380,0,0,3%,4,29,13,0,0,6,7,0,13,17,13,0,6,6000,0,0,0,0,26,3,40,2000,47,117,5,3350,0%,1429,52,3%,433,30%,216,5%,7%,generate_country_csv_report_1727-01-01-01.csv
TRI,2707,0,0,2%,5,7,5,1,0,3,6,0,9,7,7,0,0,0,0,0,0,0,42,6,-8,-400,54,135,0,0,50%,586,40,6%,304,51%,216,5%,7%,generate_country_csv_report_1727-01-01-01.csv
UEK,10426,0,0,3%,19,21,10,0,0,4,8,5,17,17,17,0,0,0,0,0,0,0,5,0,0,0,21,52,12,8040,25%,3882,38,0%,1020,26%,293,5%,7%,generate_country_csv_report_1727-01-01-01.csv
WGK,437,0,0,0%,4,4,4,1,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-600,68,170,0,0,50%,156,33,21%,45,29%,357,5%,7%,generate_country_csv_report_1727-01-01-01.csv
AAV,105,0,0,1%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,25%,12,0,-5%,13,100%,122,5%,7%,generate_country_csv_report_1727-01-01-01.csv
AGC,5558,0,0,2%,6,6,6,1,0,8,10,5,23,19,19,0,0,0,47,23,0,0,0,0,75,3750,0,0,0,0,25%,3070,16,0%,299,9%,552,5%,7%,generate_country_csv_report_1727-01-01-01.csv
AHM,1211,0,0,2%,7,7,7,1,0,8,11,0,19,20,20,0,0,0,0,0,0,0,0,0,-24,-1200,0,0,0,0,0%,179,-3,-1%,120,67%,147,5%,7%,generate_country_csv_report_1727-01-01-01.csv
ARN,3943,0,0,2%,8,14,8,1,0,7,12,1,20,17,17,0,0,0,0,0,0,0,58,8,1,50,0,0,16,10720,75%,1319,59,4%,283,21%,334,5%,7%,generate_country_csv_report_1727-01-01-01.csv
ATL,6486,0,0,2%,4,4,4,1,0,7,11,3,21,17,17,0,102,76500,0,0,137,274,0,0,-14,-700,0,0,0,0,25%,3115,228,7%,201,6%,480,5%,7%,generate_country_csv_report_1727-01-01-01.csv
AUC,4788,0,0,2%,15,15,15,1,0,8,19,8,35,27,27,0,19,12350,19,9,0,0,0,0,74,3700,0,0,0,0,25%,3644,68,1%,411,11%,761,5%,7%,generate_country_csv_report_1727-01-01-01.csv
AUF,1358,0,0,1%,5,5,5,1,0,1,5,3,9,15,15,0,0,0,28,14,0,0,0,0,-14,-700,0,0,67,44890,25%,676,85,12%,139,20%,497,5%,7%,generate_country_csv_report_1727-01-01-01.csv
BTR,17944,0,0,3%,25,25,25,1,0,10,16,3,29,23,23,0,28,15400,0,0,0,0,45,6,32,1600,0,0,67,44890,70%,3632,260,7%,1651,45%,202,5%,7%,generate_country_csv_report_1727-01-01-01.csv
CUL,148,0,0,3%,1,3,1,1,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,4,0,-6%,4,105%,29,5%,7%,generate_country_csv_report_1727-01-01-01.csv
ETV,352,0,0,0%,1,1,1,1,0,3,6,0,9,8,8,0,42,27300,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,97,54,55%,41,42%,276,5%,7%,generate_country_csv_report_1727-01-01-01.csv
FLU,296,0,0,3%,2,2,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,22,0,-3%,22,98%,77,5%,7%,generate_country_csv_report_1727-01-01-01.csv
FRO,507,0,0,3%,3,3,3,1,0,1,5,0,6,11,11,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,59,-1,-2%,54,90%,117,5%,7%,generate_country_csv_report_1727-01-01-01.csv
JIN,599,0,0,2%,1,1,1,1,0,4,6,0,10,10,10,0,0,0,0,0,0,0,6,0,-1,-50,0,0,0,0,50%,98,1,1%,76,78%,164,5%,7%,generate_country_csv_report_1727-01-01-01.csv
KHM,6752,0,0,3%,13,13,13,1,0,6,12,0,18,21,21,0,0,0,0,0,0,0,0,0,17,850,0,0,57,38190,25%,1873,116,6%,601,32%,277,5%,7%,generate_country_csv_report_1727-01-01-01.csv
KKV,527,0,0,0%,1,1,1,1,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,74,0,-0%,62,84%,140,5%,7%,generate_country_csv_report_1727-01-01-01.csv
KSA,4340,0,0,3%,8,10,8,1,0,7,12,4,23,18,18,0,6,3300,11,5,38,76,0,0,23,1150,0,0,0,0,75%,2065,17,0%,446,21%,475,5%,7%,generate_country_csv_report_1727-01-01-01.csv
LNV,353,0,0,0%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,25%,48,0,-1%,43,89%,138,5%,7%,generate_country_csv_report_1727-01-01-01.csv
LOC,105,0,0,2%,1,1,1,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,12,0,-5%,12,102%,114,5%,7%,generate_country_csv_report_1727-01-01-01.csv
MES,851,0,0,3%,1,1,1,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,41,27470,50%,182,51,27%,100,55%,214,5%,7%,generate_country_csv_report_1727-01-01-01.csv
MJU,34830,0,0,3%,22,22,22,0,0,16,47,9,72,59,59,0,14,7700,51,25,22,44,47,7,96,4800,0,0,89,59630,60%,10769,733,6%,1990,18%,311,5%,7%,generate_country_csv_report_1727-01-01-01.csv
MNG,2973,0,0,3%,7,7,7,1,0,5,5,1,11,10,10,0,6,3300,0,0,0,0,0,0,20,1000,0,0,0,0,50%,571,8,1%,214,37%,192,5%,7%,generate_country_csv_report_1727-01-01-01.csv
MRV,158,0,0,2%,1,1,1,1,0,3,4,0,7,7,6,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,50%,18,0,-3%,17,98%,115,5%,7%,generate_country_csv_report_1727-01-01-01.csv
OOD,7501,0,0,3%,1,1,1,1,0,3,2,0,5,5,5,0,0,0,0,0,15,30,0,0,-4,-200,0,0,0,0,50%,1051,0,0%,605,57%,140,5%,7%,generate_country_csv_report_1727-01-01-01.csv
PER,254,0,0,3%,1,1,1,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,25%,30,0,-0%,28,95%,118,5%,7%,generate_country_csv_report_1727-01-01-01.csv
QDT,2433,0,0,3%,15,16,15,1,0,6,15,4,25,21,21,0,46,25300,7,3,0,0,0,0,69,3450,0,0,0,0,50%,1293,100,7%,174,13%,531,5%,7%,generate_country_csv_report_1727-01-01-01.csv
QUE,3242,0,0,3%,12,12,12,1,0,5,11,5,21,25,25,0,0,0,0,0,0,0,0,0,-26,-1300,0,0,0,0,0%,2038,-3,-0%,309,15%,628,5%,7%,generate_country_csv_report_1727-01-01-01.csv
RIV,705,0,0,2%,2,2,2,1,0,3,5,0,8,6,6,0,48,31200,0,0,58,116,0,0,-6,-300,0,0,0,0,50%,158,60,38%,79,50%,224,5%,7%,generate_country_csv_report_1727-01-01-01.csv
RJV,208,0,0,1%,1,1,1,1,0,3,5,0,8,8,8,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,75%,25,0,-3%,24,95%,124,5%,7%,generate_country_csv_report_1727-01-01-01.csv
RNV,353,0,0,1%,1,1,1,1,0,3,3,0,6,6,6,0,26,14300,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,67,22,32%,41,61%,192,5%,7%,generate_country_csv_report_1727-01-01-01.csv
SDP,27704,0,0,4%,7,28,7,1,0,19,35,10,64,27,27,0,45,33750,42,21,0,0,0,0,65,3250,0,0,43,28810,75%,7783,500,6%,1398,17%,280,5%,7%,generate_country_csv_report_1727-01-01-01.csv
SKE,739,0,0,3%,2,2,2,1,0,5,6,0,11,11,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,50%,109,-1,-1%,90,82%,148,5%,7%,generate_country_csv_report_1727-01-01-01.csv
SMP,19944,0,0,4%,5,5,5,1,0,2,11,0,13,17,17,0,0,0,0,0,0,0,124,18,16,800,0,0,53,35510,50%,3566,177,4%,1499,42%,178,5%,7%,generate_country_csv_report_1727-01-01-01.csv
